,Title,Price,Image
0,Braun Series 9 Electric Shaver 9385cc Graphite,"R7,999",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/I/H/IH_58_Product_image_6abd_16e0.jpg
1,Beurer Air Purifier LR 200,"R4,799",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/Y/BY_90_Set_Picture_164a_8961.jpg
2,Beurer Nebuliser with Accessories IH 55,"R3,599",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/M/BM_57_Product_image_Overview_856b_7b3a.jpg
3,Beurer Pulse Oximeter Bluetooth PO 60 +App,"R2,699",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/M/BM_51_Product_image_Sidecuff_Set_375a_fc88.jpg
4,Beurer Nebuliser with Accessories IH 58,"R2,599",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/P/O/PO_45_product_image_side_5c81_44dc.jpg
5,Beurer Baby Scale with App BY 90,"R2,399",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/L/B/LB_37_Toffee_Product_image_LED_White___5df3.jpg
6,Beurer Upper Arm Blood Pressure Monitor BM 57 +App,"R2,349",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/L/B/LB_37_White_Product_image_LED_White__d65a_2d1e.jpg
7,Beurer BM 51 Easy Clip Upper Arm Blood Pressure Monitor,"R2,349",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/N/W/NWI_MT01_6be7.jpg
8,Beurer Pulse Oximeter PO 45,"R2,049",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/P/O/PO_35_product_image__2__3130_b289.jpg
9,Beurer Ultrasound Air Humidifier LB 37 Toffee Energy Efficient,"R2,049",https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/I/H/IH_21_Product_image__054a_b0e1.jpg
