,Name,Price,SKU,Images
0,Sandisk Cruzer Glide USB 3.0 Flash Drive 128GB,175,SDCZ600-128G-G35,https://static.raru.co.za/cover/2017/05/02/5680947-s.jpg?v=1493714949
1,Samson Meteor USB Studio Condenser Microphone,"1,199",METEOR MIC,https://static.raru.co.za/cover/2016/05/23/4554461-s.jpg?v=1464005526
2,Sandisk - Extreme Plus SDHC 32 GB Class 10 UHS-I V30 Memory Card,83,SDSDXWF-032G-GNCIN,https://static2.raru.co.za/cover/2017/10/06/6092854-s.jpg?v=1613560605
3,Ellies - LED Iq Switch Dimmable  Gu10 5w 3000k (Warm White),79,FLGU10WD,https://static2.raru.co.za/cover/2017/05/17/5692988-s.jpg?v=1495006175
4,WD Green 240GB 2.5 Inch SATA3 3D Nand Solid State Drive,602,WDS240G2G0A,https://static2.raru.co.za/cover/2017/11/15/6154996-s.jpg?v=1591795721
5,Ellies - High Speed HDMI  Cable 1.5m,49,BPHDMIBP,https://static.raru.co.za/cover/2017/10/23/6092129-s.jpg?v=1508760260
6,Sennheiser - HD 206 Closed Back Headphones,549,HD 206,https://static.raru.co.za/cover/2017/09/07/6007843-s.jpg?v=1616074076
7,RogueWare Formula Series Black/White Gaming Chair,"3,198",RW-B3902-BK/WH,https://static2.raru.co.za/cover/2018/09/14/6896670-s.jpg?v=1597137343
8,Samsung - 980 PRO 1TB PCIe 4.0 NVMe Internal Solid State Drive,"3,364",MZ-V8P1T0BW,https://static2.raru.co.za/cover/2020/11/03/8290236-s.jpg?v=1604398036
9,SteelSeries Surface QcK Mini Mousepad (PC),189,SS63005,https://static.raru.co.za/cover/2014/03/11/1447-s.jpg?v=1394523409
10,Logitech - M171 Wireless Mouse - Blue,136,910-004640,https://static2.raru.co.za/cover/2016/05/24/4728042-s.jpg?v=1633684471
11,WD Blue 3D NAND SATA Solid State Drive 500GB 2.5 inch Serial ATA III,990,WDS500G2B0A,https://static2.raru.co.za/cover/2018/02/08/6399510-s.jpg?v=1620301407
12,D-Link HSPA+ USB Adapter 3G Dongle,399,DWM-157,https://static.raru.co.za/cover/2014/03/28/9139-s.jpg?v=1618830665
13,Razer - Naga Trinity USB Optical RGB MOBA Gaming Mouse,"1,999",RZ01-02410100-R3M1,https://static2.raru.co.za/cover/2017/12/06/6256680-s.jpg?v=1631259324
14,ASUS AM1I-A AM1 HDMI SATA 6Gb/s USB 3.0 Mini ITX AMD Motherboard (Open Box),"4,499",AM1I-A,https://static.raru.co.za/cover/2019/07/11/7764967-s.jpg?v=1568280235
15,Cooler Master - MasterWatt Entry 550w 80 Plus ATX EU Certified Power Supply 80+,799,MPW-5502-ACABW,https://static.raru.co.za/cover/2014/07/21/1857437-s.jpg?v=1624444793
16,"Corsair HS60 Pro 7.1 Surround Headset - Black & Yellow (PC, PS4, Xbox One, Switch)",799,CA-9011214-AP,https://static.raru.co.za/cover/2018/02/28/6467469-s.jpg?v=1519802261
17,RogueWare Rally Series Black/Blue Gaming Chair,"1,164",RW-B9305-BK/BL,https://static.raru.co.za/cover/2019/10/16/7823069-s.jpg?v=1583482439
18,Logitech - G402 Hyperion Fury USB Gaming Mouse,"2,899",European Import,https://static2.raru.co.za/cover/2018/09/14/6896662-s.jpg?v=1597137599
19,Logitech Presenter R400,741,European Import,https://static.raru.co.za/cover/2014/09/26/2074669-s.jpg?v=1615363302
20,Sennheiser - HD300 Over-Ear Headphones,424,HD300,https://static2.raru.co.za/cover/2014/03/27/8668-s.jpg?v=1450433956
21,Logitech H111 Stereo Headset with Microphone,699,European Import,https://static2.raru.co.za/cover/2019/09/09/7797236-s.jpg?v=1613118037
22,,919,,https://static2.raru.co.za/cover/2020/02/24/7924938-s.jpg?v=1582548358
23,,141,,https://static2.raru.co.za/cover/2015/10/26/3187518-s.jpg?v=1445866488
24,,685,,https://static.raru.co.za/cover/2020/02/24/7924937-s.jpg?v=1636357349
